2,11958
3,154
4,174
5,148
6,51914
7,164
9,133
10,127
11,148
12,173
13,105
14,146
15,135
17,152
19,139
20,159
21,120
23,133
24,13079
25,148
26,165
27,29286
28,12919
30,64143
31,125
32,121
33,168
34,132
35,136
36,127
37,121
38,148
39,11793
40,103
41,65490
42,106
43,165
44,141
45,166
46,140
47,168
48,170
49,167
50,132
51,149
52,179
53,182
54,139
55,22953
56,6142
57,127
58,104
60,173
61,136
62,185
63,151
64,192
65,65079
66,133
68,188
69,119
70,124
71,134
72,160
73,131
74,148
75,168
76,112
77,191
78,156
79,33930
81,107
82,170
83,34895
84,110
85,35425
86,193
87,130
88,142
89,4480
90,153
91,136
92,127
93,116
94,137
95,156
96,185
97,177
98,143
99,192
100,149
101,144
103,164
104,182
105,133
106,168
107,119
108,113
109,174
110,40608
111,1290
112,126
113,112
114,168
115,159
116,115
117,131
118,173
119,139
120,164
121,161
122,118
123,124
124,121
125,121
126,160
127,130
128,113
129,166
130,108
131,30055
132,170
133,2093
134,198
135,170
136,127
137,102
138,145
139,21819
140,117
141,131
142,107
143,19513
144,179
145,118
146,131
147,145
148,175
149,119
150,158
151,144
152,10923
153,202
154,146
155,101
156,173
157,167
158,121
159,154
160,148
161,8578
162,837
163,119
164,102
165,156
166,160
167,131
168,168
169,138
170,138
171,31838
172,2971
173,141
174,192
175,166
176,127
177,101
178,119
179,32530
180,166
181,139
182,177
183,156
184,164
185,104
186,137
187,116
188,141
189,163
190,181
191,109
192,146
193,149
194,2547
195,143
196,102
197,148
198,121
199,160
200,132
201,101
202,152
203,113
204,164
205,171
206,144
207,144
208,16216
209,164
210,170
211,3122
212,186
213,157
214,156
215,165
216,127
217,101
218,124
219,240
220,123
221,178
222,6346
223,175
224,175
225,60744
226,21189
227,135
228,163
229,136
230,109
231,139
232,158
233,172
234,3413
235,105
236,102
237,146
238,149
239,116
240,191
241,187
242,158
243,121
244,128
245,157
246,155
247,227
248,105
249,146
250,129
251,155
252,156
253,260
254,123
255,114
256,149
257,189
258,156
259,170
260,128
261,190
262,112
263,134
264,130
265,133
266,122
267,102
268,115
269,143
270,124
271,117
272,145
273,115
274,177
275,123
276,138
277,108
278,172
279,180
280,147
281,154
282,137
283,157
284,154
285,157
286,136
287,123
288,145
289,139
290,129
291,163
292,110
293,156
294,128
295,131
296,196
297,126
298,128
299,132
300,165
301,139
302,178
303,105
304,15499
305,111
306,210
308,160
309,108
310,20028
311,138
312,151
313,154
314,1687
315,142
316,156
317,143
318,2489
319,7838
320,136
321,169
322,175
323,113
324,158
325,105
326,4971
327,109
328,148
329,148
330,195
331,153
332,133
333,153
334,125
335,118
336,119
337,150
338,127
339,109
340,159
341,133
342,138
343,142
344,200
345,173
346,119
347,167
348,101
349,108
350,114
351,169
352,185
353,120
354,163
355,132
356,184
357,140
358,165
359,168
360,181
361,196
362,188
363,129
364,178
366,177
367,143
368,103
369,130
370,124
371,2075
372,130
373,103
374,142
375,122
376,146
377,132
378,166
379,138
380,106
381,145
382,119
383,179
384,120
385,146
386,156
387,145
388,186
389,7103
390,13983
